date,session_type
2016-01-01,START
2016-01-26,H
2016-03-07,H
2016-03-24,H
2016-03-25,H
2016-04-14,H
2016-04-15,H
2016-04-19,H
2016-07-06,H
2016-08-15,H
2016-09-05,H
2016-09-13,H
2016-10-11,H
2016-10-12,H
2016-10-31,H
2016-11-14,H
2017-01-26,H
2017-02-24,H
2017-03-13,H
2017-04-04,H
2017-04-14,H
2017-05-01,H
2017-06-26,H
2017-08-15,H
2017-08-25,H
2017-10-02,H
2017-10-19,H
2017-10-20,H
2017-12-25,H
2018-01-26,H
2018-02-13,H
2018-03-02,H
2018-03-29,H
2018-03-30,H
2018-05-01,H
2018-08-15,H
2018-08-22,H
2018-09-13,H
2018-09-20,H
2018-10-02,H
2018-10-18,H
2018-11-07,H
2018-11-08,H
2018-11-23,H
2018-12-25,H
2019-03-04,H
2019-03-21,H
2019-04-17,H
2019-04-19,H
2019-04-29,H
2019-05-01,H
2019-06-05,H
2019-08-12,H
2019-08-15,H
2019-09-02,H
2019-09-10,H
2019-10-02,H
2019-10-08,H
2019-10-21,H
2019-10-28,H
2019-11-12,H
2019-12-25,H
2020-02-21,H
2020-03-10,H
2020-04-02,H
2020-04-06,H
2020-04-10,H
2020-04-14,H
2020-05-01,H
2020-05-25,H
2020-10-02,H
2020-11-16,H
2020-11-30,H
2020-12-25,H
2021-01-26,H
2021-03-11,H
2021-03-29,H
2021-04-02,H
2021-04-14,H
2021-04-21,H
2021-05-13,H
2021-07-21,H
2021-08-19,H
2021-09-10,H
2021-10-15,H
2021-11-04,H
2021-11-05,H
2021-11-19,H
2022-01-26,H
2022-03-01,H
2022-03-18,H
2022-04-14,H
2022-04-15,H
2022-05-03,H
2022-08-09,H
2022-08-15,H
2022-08-31,H
2022-10-05,H
2022-10-24,H
2022-10-26,H
2022-11-08,H
2023-01-26,H
2023-03-07,H
2023-03-30,H
2023-04-04,H
2023-04-07,H
2023-04-14,H
2023-05-01,H
2023-06-29,H
2023-08-15,H
2023-09-19,H
2023-10-02,H
2023-10-24,H
2023-11-14,H
2023-11-27,H
2023-12-25,H
2024-01-22,H
2024-01-26,H
2024-03-08,H
2024-03-25,H
2024-03-29,H
2024-04-11,H
2024-04-17,H
2024-05-01,H
2024-05-20,H
2024-06-17,H
2024-07-17,H
2024-08-15,H
2024-10-02,H
2024-11-01,H
2024-11-15,H
2024-11-20,H
2024-12-25,H
2025-02-26,H
2025-03-14,H
2025-03-31,H
2025-04-10,H
2025-04-14,H
2025-04-18,H
2025-05-01,H
2025-08-15,H
2025-08-27,H
2025-10-02,H
2025-10-21,H
2025-10-22,H
2025-11-05,H
2025-12-25,H
2026-01-15,H
2026-01-26,H
2026-03-03,H
2026-03-26,H
2026-03-31,H
2026-04-03,H
2026-04-14,H
2026-05-01,H
2026-05-28,H
2026-06-26,H
2016-10-30,S
2017-10-19,S
2018-11-07,S
2019-10-27,S
2020-02-01,S
2020-11-14,S
2021-11-04,S
2022-10-24,S
2023-11-12,S
2024-01-20,S
2024-03-02,S
2024-05-18,S
2024-11-01,S
2025-02-01,S
2025-10-21,S
2026-02-01,S
2026-08-19,END
