date,session_type,source
2025-08-20,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-08-21,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-08-22,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-08-25,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-08-26,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-08-28,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-08-29,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-09-01,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-09-02,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-09-03,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-09-04,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-09-05,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-09-08,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-09-09,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-09-10,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-09-11,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-09-12,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-09-15,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-09-16,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-09-17,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-09-18,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-09-19,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-09-22,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-09-23,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-09-24,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-09-25,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-09-26,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-09-29,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-09-30,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-10-01,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-10-03,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-10-06,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-10-07,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-10-08,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-10-09,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-10-10,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-10-13,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-10-14,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-10-15,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-10-16,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-10-17,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-10-20,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-10-21,SPECIAL,SPECIAL: Diwali Muhurat trading; NSE CM holiday list marks Diwali Laxmi Pujan as holiday and UDiFF archive exists
2025-10-23,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-10-24,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-10-27,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-10-28,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-10-29,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-10-30,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-10-31,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-11-03,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-11-04,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-11-06,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-11-07,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-11-10,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-11-11,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-11-12,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-11-13,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-11-14,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-11-17,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-11-18,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-11-19,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-11-20,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-11-21,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-11-24,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-11-25,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-11-26,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-11-27,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-11-28,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-01,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-02,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-03,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-04,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-05,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-08,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-09,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-10,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-11,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-12,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-15,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-16,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-17,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-18,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-19,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-22,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-23,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-24,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-26,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-29,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-30,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-31,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-01-01,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-01-02,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
