trade_date,sequence,symbol,side,quantity,price,turnover,brokerage,stt_buy,stt_sell,exchange_transaction_charge,sebi_turnover_charge,gst,stamp_duty,dp_charges,total_cost,allocation_note
2016-04-04,1,INFY,BUY,27,607.08,16391.16,0,16.39,0,0.50,0.01,0.09,2.46,0,19.45,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-04-04,2,HINDALCO,BUY,190,87.49,16623.10,0,16.63,0,0.51,0.02,0.10,2.49,0,19.75,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-04-04,3,TCS,BUY,13,1228.61,15971.93,0,15.98,0,0.49,0.02,0.09,2.40,0,18.98,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-04-11,1,TCS,SELL,13,1215.89,15806.57,0,0.00,16.00,0.49,0.01,0.09,0.00,15.34,31.93,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-04-11,2,M&M,BUY,26,619.76,16113.76,0,16.00,0.00,0.49,0.02,0.09,2.42,0.00,19.02,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-04-18,1,INFY,SELL,27,624.69,16866.63,0,0.00,16.79,0.52,0.01,0.09,0.00,15.34,32.75,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-04-18,2,M&M,SELL,26,664.67,17281.42,0,0.00,17.21,0.53,0.02,0.10,0.00,15.34,33.20,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-04-18,3,BANKBARODA,BUY,115,151.18,17385.70,0,17.23,0.00,0.53,0.02,0.10,2.61,0.00,20.49,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-04-18,4,AXISBANK,BUY,38,445.17,16916.46,0,16.77,0.00,0.52,0.02,0.10,2.54,0.00,19.95,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-05-02,1,AXISBANK,SELL,38,474.11,18016.18,0,0.00,18.00,0.55,0.02,0.10,0.00,15.34,34.01,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-05-02,2,LT,BUY,22,831.08,18283.76,0,18.00,0.00,0.56,0.02,0.11,2.74,0.00,21.43,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-05-09,1,LT,SELL,22,842.25,18529.50,0,0.00,19.00,0.57,0.02,0.11,0.00,15.34,35.04,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-05-09,2,AXISBANK,BUY,38,466.03,17709.14,0,18.00,0.00,0.54,0.02,0.10,2.66,0.00,21.32,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-05-23,1,BANKBARODA,SELL,115,135.73,15608.95,0,0.00,16.00,0.48,0.01,0.09,0.00,15.34,31.92,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-05-23,2,BPCL,BUY,105,154.54,16226.70,0,16.00,0.00,0.50,0.02,0.09,2.43,0.00,19.04,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-05-30,1,BPCL,SELL,105,169.92,17841.60,0,0.00,18.00,0.55,0.02,0.10,0.00,15.34,34.01,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-05-30,2,LT,BUY,18,980.42,17647.56,0,18.00,0.00,0.54,0.02,0.10,2.65,0.00,21.31,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-06-06,1,LT,SELL,18,974.71,17544.78,0,0.00,18.00,0.54,0.02,0.10,0.00,15.34,34.00,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-06-06,2,BPCL,BUY,105,167.82,17621.10,0,18.00,0.00,0.54,0.02,0.10,2.64,0.00,21.30,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-06-13,1,BPCL,SELL,105,163.63,17181.15,0,0.00,17.00,0.53,0.02,0.10,0.00,15.34,32.99,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-06-13,2,LT,BUY,17,980.49,16668.33,0,17.00,0.00,0.51,0.01,0.09,2.50,0.00,20.11,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-06-20,1,AXISBANK,SELL,38,514.74,19560.12,0,0.00,20.00,0.60,0.02,0.11,0.00,15.34,36.07,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-06-20,2,BAJAJFINSV,BUY,96,203.87,19571.52,0,20.00,0.00,0.60,0.02,0.11,2.94,0.00,23.67,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-07-11,1,LT,SELL,17,1038.15,17648.55,0,0.00,18.00,0.54,0.02,0.10,0.00,15.34,34.00,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-07-11,2,AXISBANK,BUY,32,551.93,17661.76,0,18.00,0.00,0.54,0.02,0.10,2.65,0.00,21.31,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-07-18,1,AXISBANK,SELL,32,569.72,18231.04,0,0.00,18.00,0.56,0.02,0.11,0.00,15.34,34.03,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-07-18,2,LT,BUY,17,1059.20,18006.40,0,18.00,0.00,0.55,0.02,0.10,2.70,0.00,21.37,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-08-01,1,LT,SELL,17,1038.85,17660.45,0,0.00,18.00,0.54,0.02,0.10,0.00,15.34,34.00,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-08-01,2,ASIANPAINT,BUY,16,1120.16,17922.56,0,18.00,0.00,0.55,0.02,0.10,2.69,0.00,21.36,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-08-08,1,ASIANPAINT,SELL,16,1152.42,18438.72,0,0.00,18.00,0.57,0.02,0.10,0.00,15.34,34.03,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-08-08,2,JINDALSTEL,BUY,222,83.74,18590.28,0,19.00,0.00,0.57,0.02,0.11,2.79,0.00,22.49,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-08-16,1,JINDALSTEL,SELL,222,81.01,17984.22,0,0.00,18.00,0.55,0.02,0.11,0.00,15.34,34.02,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-08-16,2,SBIN,BUY,73,245.37,17912.01,0,18.00,0.00,0.55,0.02,0.10,2.69,0.00,21.36,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-08-29,1,SBIN,SELL,73,245.73,17938.29,0,0.00,18.00,0.55,0.02,0.10,0.00,15.34,34.01,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-08-29,2,JINDALSTEL,BUY,210,85.54,17963.40,0,18.00,0.00,0.55,0.02,0.11,2.69,0.00,21.37,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-09-12,1,JINDALSTEL,SELL,210,82.56,17337.60,0,0.00,17.00,0.53,0.02,0.10,0.00,15.34,32.99,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-09-12,2,MARUTI,BUY,3,5307.65,15922.95,0,16.00,0.00,0.49,0.01,0.09,2.39,0.00,18.98,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-09-19,1,HINDALCO,SELL,190,143.03,27175.70,0,0.00,27.00,0.83,0.03,0.15,0.00,15.34,43.35,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-09-19,2,JINDALSTEL,BUY,297,81.99,24351.03,0,24.00,0.00,0.75,0.02,0.14,3.65,0.00,28.56,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-10-03,1,JINDALSTEL,SELL,297,76.96,22857.12,0,0.00,23.00,0.70,0.02,0.13,0.00,15.34,39.19,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-10-03,2,HINDALCO,BUY,159,154.58,24578.22,0,25.00,0.00,0.76,0.03,0.14,3.69,0.00,29.62,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-10-10,1,HINDALCO,SELL,159,158.77,25244.43,0,0.00,25.00,0.77,0.03,0.15,0.00,15.34,41.29,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-10-10,2,BPCL,BUY,113,221.44,25022.72,0,25.00,0.00,0.77,0.02,0.14,3.75,0.00,29.68,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-10-24,1,BPCL,SELL,113,223.06,25205.78,0,0.00,25.00,0.77,0.02,0.14,0.00,15.34,41.27,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-10-24,2,SBIN,BUY,98,259.43,25424.14,0,25.00,0.00,0.78,0.03,0.15,3.81,0.00,29.77,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-11-01,1,SBIN,SELL,98,256.87,25173.26,0,0.00,25.00,0.77,0.02,0.14,0.00,15.34,41.27,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-11-01,2,BPCL,BUY,116,223.80,25960.80,0,26.00,0.00,0.80,0.03,0.15,3.89,0.00,30.87,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-11-07,1,BPCL,SELL,116,215.89,25043.24,0,0.00,25.00,0.77,0.03,0.14,0.00,15.34,41.28,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-11-07,2,HINDALCO,BUY,153,162.83,24912.99,0,25.00,0.00,0.76,0.02,0.14,3.74,0.00,29.66,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-11-15,1,BAJAJFINSV,SELL,96,302.85,29073.60,0,0.00,28.83,0.89,0.03,0.16,0.00,15.34,45.25,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-11-15,2,MARUTI,SELL,3,5099.35,15298.05,0,0.00,15.17,0.47,0.02,0.09,0.00,15.34,31.09,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-11-15,3,SBIN,BUY,83,275.29,22849.07,0,23.09,0.00,0.70,0.02,0.13,3.43,0.00,27.37,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-11-15,4,ICICIBANK,BUY,90,251.94,22674.60,0,22.91,0.00,0.70,0.02,0.13,3.40,0.00,27.16,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-11-21,1,HINDALCO,SELL,153,166.42,25462.26,0,0.00,25.34,0.78,0.03,0.15,0.00,15.34,41.64,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-11-21,2,ICICIBANK,SELL,90,241.88,21769.20,0,0.00,21.66,0.67,0.02,0.12,0.00,15.34,37.81,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-11-21,3,BANKBARODA,BUY,130,179.64,23353.20,0,23.53,0.00,0.72,0.02,0.13,3.50,0.00,27.90,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-11-21,4,BPCL,BUY,108,215.67,23292.36,0,23.47,0.00,0.71,0.02,0.13,3.50,0.00,27.83,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-11-28,1,BANKBARODA,SELL,130,161.92,21049.60,0,0.00,21.01,0.65,0.02,0.12,0.00,15.34,37.14,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-11-28,2,SBIN,SELL,83,253.32,21025.56,0,0.00,20.99,0.65,0.02,0.12,0.00,15.34,37.12,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
