trade_date,sequence,symbol,side,quantity,price,turnover,brokerage,stt_buy,stt_sell,exchange_transaction_charge,sebi_turnover_charge,gst,stamp_duty,dp_charges,total_cost,allocation_note
2016-11-01,1,BAJAJFINSV,BUY,48,344.17,16520.16,0,16.55,0,0.51,0.02,0.09,2.48,0,19.65,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-11-01,2,MARUTI,BUY,2,5921.96,11843.92,0,11.86,0,0.36,0.01,0.07,1.78,0,14.08,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-11-01,3,BPCL,BUY,74,223.80,16561.20,0,16.59,0,0.51,0.01,0.10,2.48,0,19.69,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-11-15,1,MARUTI,SELL,2,5099.35,10198.70,0,0.00,10.00,0.31,0.01,0.06,0.00,15.34,25.72,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-11-15,2,HINDALCO,BUY,86,175.79,15117.94,0,15.00,0.00,0.47,0.02,0.09,2.27,0.00,17.85,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-12-05,1,BAJAJFINSV,SELL,48,298.85,14344.80,0,0.00,14.00,0.44,0.02,0.08,0.00,15.34,29.88,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-12-05,2,HCLTECH,BUY,36,394.97,14218.92,0,14.00,0.00,0.44,0.01,0.08,2.13,0.00,16.66,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-12-26,1,BPCL,SELL,74,203.56,15063.44,0,0,15.11,0.46,0.02,0.08,0,15.34,31.01,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-12-26,2,HCLTECH,SELL,36,395.75,14247.00,0,0,14.30,0.44,0.01,0.08,0,15.34,30.17,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-12-26,3,HINDALCO,SELL,86,157.42,13538.12,0,0,13.59,0.42,0.01,0.08,0,15.34,29.44,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-01-09,1,TECHM,BUY,30,465.28,13958.40,0,13.89,0,0.43,0.02,0.08,2.09,0,16.51,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-01-09,2,ICICIBANK,BUY,60,234.57,14074.20,0,14.00,0,0.43,0.01,0.08,2.11,0,16.63,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-01-09,3,BPCL,BUY,64,221.53,14177.92,0,14.11,0,0.44,0.01,0.08,2.13,0,16.77,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-01-16,1,BPCL,SELL,64,220.77,14129.28,0,0.00,14.27,0.43,0.00,0.09,0.00,15.34,30.13,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-01-16,2,ICICIBANK,SELL,60,242.97,14578.20,0,0.00,14.73,0.45,0.02,0.08,0.00,15.34,30.62,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-01-16,3,HINDALCO,BUY,85,172.09,14627.65,0,14.51,0.00,0.45,0.02,0.08,2.20,0.00,17.26,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-01-16,4,JINDALSTEL,BUY,186,78.54,14608.44,0,14.49,0.00,0.45,0.02,0.08,2.19,0.00,17.23,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-01-30,1,JINDALSTEL,SELL,186,79.36,14760.96,0,0.00,15.00,0.45,0.02,0.09,0.00,15.34,30.90,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
