trade_date,sequence,symbol,side,quantity,price,turnover,brokerage,stt_buy,stt_sell,exchange_transaction_charge,sebi_turnover_charge,gst,stamp_duty,dp_charges,total_cost,allocation_note
2016-07-11,1,HINDALCO,BUY,83,128.36,10653.88,0,10.77,0,0.33,0.01,0.06,1.60,0,12.77,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-07-11,2,AXISBANK,BUY,19,551.93,10486.67,0,10.60,0,0.32,0.01,0.06,1.57,0,12.56,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-07-11,3,BPCL,BUY,56,187.91,10522.96,0,10.63,0,0.32,0.01,0.06,1.58,0,12.60,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-07-18,1,BPCL,SELL,56,185.24,10373.44,0,0.00,10.19,0.32,0.01,0.06,0.00,15.34,25.92,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-07-18,2,HINDALCO,SELL,6,137.83,826.98,0,0.00,0.81,0.03,0.00,0.00,0.00,15.34,16.18,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-07-18,3,BAJAJFINSV,BUY,43,243.62,10475.66,0,10.00,0.00,0.32,0.01,0.06,1.57,0.00,11.96,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-07-25,1,AXISBANK,SELL,19,518.24,9846.56,0,0.00,9.50,0.30,0.01,0.06,0.00,15.34,25.21,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-07-25,2,BAJAJFINSV,SELL,2,261.55,523.10,0,0.00,0.50,0.02,0.00,0.00,0.00,15.34,15.86,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-07-25,3,LT,BUY,10,1048.52,10485.20,0,10.00,0.00,0.32,0.01,0.06,1.57,0.00,11.96,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-08-01,1,LT,SELL,10,1038.85,10388.50,0,0.00,10.45,0.32,0.01,0.06,0.00,15.34,26.18,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-08-01,2,BAJAJFINSV,SELL,2,273.84,547.68,0,0.00,0.55,0.02,0.00,0.00,0.00,15.34,15.91,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
